id,games_id,player_id,points,def_rebounds,off_rebounds,steals,blocks,assists,fg3a,fg3m,fgm,fga,fta,ftm,turnovers,mins,fouls,created_at,updated_at,plus_minus,team_id
38,2,508,0,0,0,0,0,1,1,0,0,2,0,0,1,7,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-6,20
39,2,56,9,0,0,0,0,1,2,1,3,4,2,2,0,10,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,4,20
40,3,411,10,3,2,0,0,5,3,1,3,10,4,3,1,32,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,4,16
41,3,404,4,4,2,0,0,2,0,0,1,3,2,2,1,16,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,9,16
42,3,402,24,6,3,1,1,6,10,4,7,17,6,6,2,34,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,13,16
43,3,406,25,5,1,1,0,3,8,4,8,16,6,5,1,6,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,18,16
44,3,412,8,2,0,1,0,4,1,0,4,5,0,0,0,24,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,16,16
45,3,416,12,3,3,2,2,0,3,0,6,9,0,0,1,25,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,11,16
46,3,408,19,5,1,0,1,7,3,1,6,18,6,6,1,29,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,2,16
47,3,407,12,1,1,1,0,0,3,2,5,8,0,0,2,21,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-9,16
48,3,415,7,4,0,3,1,4,1,0,3,6,1,1,1,22,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,16
49,3,405,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-5,16
50,3,557,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-3,16
51,3,241,3,2,1,0,1,2,7,1,1,7,0,0,0,23,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-4,9
52,3,231,9,1,0,0,3,0,2,0,3,6,3,3,0,24,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-12,9
53,3,229,24,4,1,0,1,1,0,0,10,12,5,4,1,26,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-18,9
54,3,228,26,1,0,0,0,10,9,6,9,18,2,2,4,11,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-16,9
55,3,242,2,1,1,1,0,2,2,0,0,3,2,2,0,19,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-12,9
56,3,244,14,2,4,0,1,1,2,1,6,11,2,1,2,22,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-15,9
57,3,199,4,4,0,1,2,4,4,0,2,7,0,0,0,21,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,9,9
58,3,232,5,4,3,1,1,0,2,0,2,6,2,1,1,18,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-16,9
59,3,234,4,4,0,0,2,2,2,1,1,4,2,1,0,15,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,4,9
60,3,230,6,2,0,0,0,1,3,0,2,5,2,2,2,15,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-3,9
61,3,237,0,0,0,0,0,0,2,0,0,3,0,0,0,8,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,6,9
62,3,240,10,1,3,2,1,1,1,1,3,6,4,3,0,5,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,11,9
63,3,236,3,0,0,0,0,2,1,1,1,2,0,0,1,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,11,9
64,4,93,11,5,1,1,0,6,2,0,4,12,4,3,3,31,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,5,28
65,4,88,17,3,1,1,1,5,4,2,6,12,3,3,1,34,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,25,28
66,4,99,16,8,2,1,2,4,0,0,8,9,0,0,1,30,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,16,28
67,4,89,31,5,1,1,0,3,7,3,13,19,4,2,2,9,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,16,28
68,4,100,10,2,0,3,0,8,7,2,4,14,0,0,1,31,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,14,28
69,4,103,11,2,1,2,0,4,5,0,4,11,3,3,0,25,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,24,28
